Diabase,,Granite,,Basalt,,Quartzite,,Gneiss,,Marble,,Schist_Flat,,Schist_Perp,,Limestone,,Mudstone,,Sandstone,,Shale,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
400.266470341287,102.280729300323,225.190465408836,60.9837222192559,403.175059373383,85.7688771286291,402.610175249287,102.312045828999,213.453708512662,72.2348139605941,63.7123359401747,82.9186641252705,161.726358725526,47.1612803926695,110.999655449582,75.9062386962835,160.315028163548,90.7290740990469,0.586876731721373,0.078155176189894,109.633943560224,41.6599083188712,192.637413728385,17.9275576093498
399.642372885415,105.288654271196,233.224118087667,63.4162668795035,374.865697002209,88.3646202483594,381.718032557738,109.352809362664,227.34916823847,68.7448323016094,60.8575176776079,78.766258532236,142.204527739017,46.5842895208956,99.8339186110346,80.2409386613948,191.864901123736,93.1138072508387,0.72614558837992,0.09494340188767,135.676394514437,46.8190433140544,188.191409012179,25.7790913598706
397.775913026143,108.388925898903,238.309712773558,65.0929782363318,338.357925388723,88.2359949245838,358.465340024327,111.469038456687,232.018890522856,63.8503658839968,58.9116137055435,73.3394509771476,125.066270353157,44.6386624944354,88.3388604930395,82.5419962518863,234.862756217632,91.9137069087398,0.908640949262942,0.113851308976154,153.509532355045,48.0496402956164,175.848685990147,30.9129780183103
390.396837173591,110.077719225425,244.163680248136,67.8764066141393,318.869935014715,88.0638758932285,329.004810066299,110.55800181172,229.865889461203,58.8759115942904,58.3635420340575,67.8541784655693,106.800153658113,41.3348425422466,75.8980070160373,82.0516563659658,259.895666497283,85.0310348895984,1.11177921447671,0.134765108344448,198.760678510038,48.0496402956164,160.706073913943,33.4151690020047
379.584093038784,111.294667999883,248.145997833644,71.1593796774245,300.504370747266,87.8920926087639,310.11898911679,106.06559161882,222.537427364765,54.0849372933765,58.0089147445836,63.2076037712562,98.3870890820801,38.7147919242601,66.5181478610611,80.7703829520472,268.836447844793,80.7313571844757,1.47127870860932,0.174684158104702,227.476093239757,45.031988709032,135.779460156375,34.2934570489521
356.615899541294,112.226767689556,245.483967274703,75.6137264349046,286.267572136708,87.2488562580731,283.78284730521,100.680436451685,213.320057017558,49.6754468138095,59.0138824378261,57.5281118890993,32.6026423929527,12.9543254007343,56.7825505318548,78.6733377686679,268.930029319713,69.9955487298443,1.82042068766356,0.212207419071606,246.184516587503,38.0436073053763,126.934455949246,33.8514647091337
346.198142551782,111.073313762881,237.667997918189,78.2772681013819,269.053309872199,86.6237501164977,257.95617839105,96.5296877506363,197.865077405487,44.9887956428284,60.0232456297014,53.9725709949616,29.8475962711872,11.5333720311708,50.2687182805094,75.6506708943027,240.464619054415,58.3710066504153,2.15318534530021,0.271520620151895,238.117591208974,32.5593747471619,110.960041223422,30.1212672540594
327.797656097657,109.294729504779,227.019469709005,81.4753453319294,254.928053421666,86.449417182626,230.642436706925,92.5240545170997,184.114333031705,41.4395283308422,61.6558382617659,50.8164139850058,26.5378042196558,9.62607023045498,44.0711168912362,71.0349275210738,212.577021366626,51.9389251340501,3.18643237731427,0.438786766542876,208.203723400663,26.1156842076675,63.3658161050932,17.2432735634821
312.318481533429,106.883123742006,214.521764327814,81.3138938584966,235.753202721274,84.9461321877762,205.536396067237,88.9792389404491,172.437137206879,38.693036656563,65.4405398769998,49.6810315896116,24.7889062282646,8.20532996765087,39.676104603726,65.6149725345021,187.929600550784,45.6199630914466,3.85427745717083,0.576186900271553,176.004541809036,21.4978172257271,48.9705216549177,13.302818384955
300.369353982884,103.878077857477,199.99744066353,79.2635596273259,223.979322973399,84.5495153087399,183.149977899813,86.44040274832,159.371043345648,36.4877634793264,67.6281615292231,50.5543067843775,23.6172121140306,7.04399306301732,35.7228289806148,59.7964235168669,153.601843251831,37.5532810316491,4.21451408354336,0.709094677175693,137.556659753067,16.5851082263439,36.1862397165092,9.87111467380279
290.232875180484,100.338334730343,189.497606485075,77.4543367963335,205.46355243597,83.0869930983463,164.28657272129,83.7006848696205,139.729010915154,34.0311813972837,,,23.4855877305039,6.11298319374313,32.0613400822604,53.5796183346826,134.26290166924,34.2934570489521,4.30753472676973,0.919137069087398,99.3943576488237,11.9914924799993,27.3460458708516,7.42031830259869
